ms,adc_ch1,volt_ch1,adc_ch2,volt_ch2,rep
0,0,0.0,0,0.0,1
11,0,0.0,0,0.0,1
16,0,0.0,0,0.0,1
20,1,0.0008058608058608059,0,0.0,1
25,0,0.0,0,0.0,1
27,0,0.0,0,0.0,1
33,0,0.0,0,0.0,1
33,0,0.0,0,0.0,1
33,0,0.0,0,0.0,1
49,0,0.0,0,0.0,1
51,0,0.0,0,0.0,1
51,0,0.0,0,0.0,1
51,0,0.0,0,0.0,1
71,0,0.0,0,0.0,1
76,0,0.0,0,0.0,1
81,0,0.0,0,0.0,1
87,0,0.0,0,0.0,1
92,0,0.0,0,0.0,1
97,0,0.0,0,0.0,1
101,0,0.0,0,0.0,1
101,0,0.0,0,0.0,1
101,0,0.0,0,0.0,1
101,0,0.0,0,0.0,1
119,0,0.0,0,0.0,1
119,0,0.0,0,0.0,1
132,0,0.0,0,0.0,1
134,0,0.0,0,0.0,1
142,0,0.0,0,0.0,1
142,0,0.0,0,0.0,1
152,0,0.0,0,0.0,1
157,0,0.0,0,0.0,1
157,0,0.0,0,0.0,1
165,0,0.0,0,0.0,1
167,0,0.0,0,0.0,1
167,0,0.0,0,0.0,1
182,0,0.0,0,0.0,1
182,0,0.0,0,0.0,1
182,0,0.0,0,0.0,1
182,0,0.0,0,0.0,1
201,0,0.0,0,0.0,1
201,0,0.0,0,0.0,1
201,0,0.0,0,0.0,1
215,0,0.0,0,0.0,1
215,0,0.0,0,0.0,1
215,0,0.0,0,0.0,1
231,0,0.0,0,0.0,1
231,0,0.0,0,0.0,1
231,0,0.0,0,0.0,1
231,0,0.0,0,0.0,1
247,0,0.0,0,0.0,1
247,21,0.016923076923076923,0,0.0,1
247,0,0.0,0,0.0,1
266,0,0.0,0,0.0,1
272,0,0.0,0,0.0,1
272,0,0.0,0,0.0,1
282,0,0.0,0,0.0,1
287,0,0.0,0,0.0,1
287,0,0.0,0,0.0,1
296,0,0.0,0,0.0,1
296,0,0.0,0,0.0,1
296,0,0.0,0,0.0,1
313,0,0.0,0,0.0,1
316,0,0.0,0,0.0,1
322,0,0.0,0,0.0,1
322,0,0.0,0,0.0,1
332,0,0.0,0,0.0,1
337,0,0.0,0,0.0,1
337,0,0.0,0,0.0,1
345,0,0.0,0,0.0,1
345,0,0.0,0,0.0,1
345,0,0.0,0,0.0,1
362,0,0.0,0,0.0,1
362,0,0.0,0,0.0,1
362,0,0.0,0,0.0,1
362,0,0.0,0,0.0,1
382,0,0.0,0,0.0,1
387,0,0.0,0,0.0,1
387,0,0.0,0,0.0,1
397,0,0.0,0,0.0,1
397,16,0.012893772893772894,0,0.0,1
397,0,0.0,0,0.0,1
411,0,0.0,0,0.0,1
416,0,0.0,0,0.0,1
416,0,0.0,0,0.0,1
427,0,0.0,0,0.0,1
427,0,0.0,0,0.0,1
427,0,0.0,0,0.0,1
427,0,0.0,0,0.0,1
444,0,0.0,0,0.0,1
452,0,0.0,0,0.0,1
454,0,0.0,0,0.0,1
460,0,0.0,0,0.0,1
466,0,0.0,0,0.0,1
466,0,0.0,0,0.0,1
477,0,0.0,0,0.0,1
477,19,0.01531135531135531,0,0.0,1
477,0,0.0,0,0.0,1
477,0,0.0,0,0.0,1
493,0,0.0,0,0.0,1
493,0,0.0,0,0.0,1
493,0,0.0,0,0.0,1
512,0,0.0,0,0.0,1
512,0,0.0,0,0.0,1
