ms,adc_ch1,volt_ch1,adc_ch2,volt_ch2,rep
9,0,0.0,0,0.0,1
15,0,0.0,0,0.0,1
16,0,0.0,0,0.0,1
25,0,0.0,0,0.0,1
29,0,0.0,0,0.0,1
32,0,0.0,0,0.0,1
32,0,0.0,0,0.0,1
44,0,0.0,0,0.0,1
46,0,0.0,0,0.0,1
46,0,0.0,0,0.0,1
59,0,0.0,0,0.0,1
61,0,0.0,0,0.0,1
61,0,0.0,0,0.0,1
75,0,0.0,0,0.0,1
80,0,0.0,0,0.0,1
85,0,0.0,0,0.0,1
90,0,0.0,0,0.0,1
94,0,0.0,0,0.0,1
99,0,0.0,0,0.0,1
104,0,0.0,0,0.0,1
109,0,0.0,0,0.0,1
116,0,0.0,0,0.0,1
116,0,0.0,0,0.0,1
116,0,0.0,0,0.0,1
127,0,0.0,0,0.0,1
127,0,0.0,0,0.0,1
127,0,0.0,0,0.0,1
144,0,0.0,0,0.0,1
144,0,0.0,0,0.0,1
144,0,0.0,0,0.0,1
144,0,0.0,0,0.0,1
163,0,0.0,0,0.0,1
163,0,0.0,0,0.0,1
176,0,0.0,0,0.0,1
181,0,0.0,0,0.0,1
184,0,0.0,0,0.0,1
184,0,0.0,0,0.0,1
192,0,0.0,0,0.0,1
192,0,0.0,0,0.0,1
192,0,0.0,0,0.0,1
209,0,0.0,0,0.0,1
210,0,0.0,0,0.0,1
210,0,0.0,0,0.0,1
226,0,0.0,0,0.0,1
231,0,0.0,0,0.0,1
236,0,0.0,0,0.0,1
240,0,0.0,0,0.0,1
244,0,0.0,0,0.0,1
244,0,0.0,0,0.0,1
244,0,0.0,0,0.0,1
244,0,0.0,0,0.0,1
264,0,0.0,0,0.0,1
264,0,0.0,0,0.0,1
276,0,0.0,0,0.0,1
281,0,0.0,0,0.0,1
286,0,0.0,0,0.0,1
286,0,0.0,0,0.0,1
296,0,0.0,0,0.0,1
301,0,0.0,0,0.0,1
301,0,0.0,0,0.0,1
310,0,0.0,0,0.0,1
310,0,0.0,0,0.0,1
310,0,0.0,0,0.0,1
325,0,0.0,0,0.0,1
325,0,0.0,0,0.0,1
325,0,0.0,0,0.0,1
325,0,0.0,0,0.0,1
346,0,0.0,0,0.0,1
351,0,0.0,0,0.0,1
351,0,0.0,0,0.0,1
359,0,0.0,0,0.0,1
359,0,0.0,0,0.0,1
359,0,0.0,0,0.0,1
375,0,0.0,0,0.0,1
375,0,0.0,0,0.0,1
375,0,0.0,0,0.0,1
375,0,0.0,0,0.0,1
391,0,0.0,0,0.0,1
391,0,0.0,0,0.0,1
391,0,0.0,0,0.0,1
408,0,0.0,0,0.0,1
414,0,0.0,0,0.0,1
418,0,0.0,0,0.0,1
425,0,0.0,0,0.0,1
425,0,0.0,0,0.0,1
425,0,0.0,0,0.0,1
425,0,0.0,0,0.0,1
440,0,0.0,0,0.0,1
440,0,0.0,0,0.0,1
456,0,0.0,0,0.0,1
456,0,0.0,0,0.0,1
456,0,0.0,0,0.0,1
456,0,0.0,0,0.0,1
474,0,0.0,0,0.0,1
474,0,0.0,0,0.0,1
474,0,0.0,0,0.0,1
489,0,0.0,0,0.0,1
496,0,0.0,0,0.0,1
496,0,0.0,0,0.0,1
506,0,0.0,0,0.0,1
506,0,0.0,0,0.0,1
506,0,0.0,0,0.0,1
506,0,0.0,0,0.0,1
