ms,adc_ch1,volt_ch1,adc_ch2,volt_ch2,rep
0,33,0.026593406593406595,0,0.0,1
0,27,0.02175824175824176,0,0.0,1
14,26,0.02095238095238095,0,0.0,1
18,35,0.028205128205128206,0,0.0,1
23,36,0.02901098901098901,0,0.0,1
28,26,0.02095238095238095,0,0.0,1
31,36,0.02901098901098901,0,0.0,1
31,43,0.03465201465201465,0,0.0,1
44,32,0.025787545787545788,0,0.0,1
44,32,0.025787545787545788,0,0.0,1
44,39,0.03142857142857143,0,0.0,1
59,26,0.02095238095238095,0,0.0,1
65,51,0.0410989010989011,0,0.0,1
70,23,0.018534798534798533,0,0.0,1
74,26,0.02095238095238095,0,0.0,1
80,34,0.0273992673992674,0,0.0,1
84,35,0.028205128205128206,0,0.0,1
89,29,0.02336996336996337,0,0.0,1
93,27,0.02175824175824176,0,0.0,1
93,32,0.025787545787545788,0,0.0,1
93,37,0.029816849816849816,0,0.0,1
109,23,0.018534798534798533,0,0.0,1
116,25,0.020146520146520144,0,0.0,1
120,34,0.0273992673992674,0,0.0,1
126,33,0.026593406593406595,0,0.0,1
126,28,0.022564102564102562,0,0.0,1
126,31,0.02498168498168498,0,0.0,1
126,30,0.024175824175824173,0,0.0,1
146,31,0.02498168498168498,0,0.0,1
151,29,0.02336996336996337,0,0.0,1
151,31,0.02498168498168498,0,0.0,1
159,37,0.029816849816849816,0,0.0,1
166,39,0.03142857142857143,0,0.0,1
166,27,0.02175824175824176,0,0.0,1
175,32,0.025787545787545788,0,0.0,1
175,38,0.03062271062271062,0,0.0,1
175,35,0.028205128205128206,0,0.0,1
175,27,0.02175824175824176,0,0.0,1
191,34,0.0273992673992674,0,0.0,1
191,36,0.02901098901098901,0,0.0,1
191,35,0.028205128205128206,0,0.0,1
208,26,0.02095238095238095,0,0.0,1
214,29,0.02336996336996337,0,0.0,1
219,32,0.025787545787545788,0,0.0,1
224,37,0.029816849816849816,0,0.0,1
231,33,0.026593406593406595,0,0.0,1
235,22,0.017728937728937726,0,0.0,1
235,32,0.025787545787545788,0,0.0,1
240,33,0.026593406593406595,0,0.0,1
240,25,0.020146520146520144,0,0.0,1
240,27,0.02175824175824176,0,0.0,1
256,33,0.026593406593406595,0,0.0,1
256,27,0.02175824175824176,0,0.0,1
256,30,0.024175824175824173,0,0.0,1
276,28,0.022564102564102562,0,0.0,1
276,32,0.025787545787545788,0,0.0,1
276,38,0.03062271062271062,0,0.0,1
289,23,0.018534798534798533,0,0.0,1
289,35,0.028205128205128206,0,0.0,1
289,28,0.022564102564102562,0,0.0,1
306,35,0.028205128205128206,0,0.0,1
306,30,0.024175824175824173,0,0.0,1
306,30,0.024175824175824173,0,0.0,1
306,39,0.03142857142857143,0,0.0,1
322,33,0.026593406593406595,0,0.0,1
322,30,0.024175824175824173,0,0.0,1
322,29,0.02336996336996337,0,0.0,1
338,39,0.03142857142857143,0,0.0,1
346,36,0.02901098901098901,0,0.0,1
346,39,0.03142857142857143,0,0.0,1
355,27,0.02175824175824176,0,0.0,1
355,34,0.0273992673992674,0,0.0,1
355,27,0.02175824175824176,0,0.0,1
371,42,0.033846153846153845,0,0.0,1
371,30,0.024175824175824173,0,0.0,1
371,43,0.03465201465201465,0,0.0,1
371,35,0.028205128205128206,0,0.0,1
388,32,0.025787545787545788,0,0.0,1
388,23,0.018534798534798533,0,0.0,1
388,37,0.029816849816849816,0,0.0,1
405,37,0.029816849816849816,0,0.0,1
410,30,0.024175824175824173,0,0.0,1
410,21,0.016923076923076923,0,0.0,1
421,41,0.03304029304029304,0,0.0,1
421,31,0.02498168498168498,0,0.0,1
421,29,0.02336996336996337,0,0.0,1
421,30,0.024175824175824173,0,0.0,1
438,32,0.025787545787545788,0,0.0,1
438,40,0.03223443223443223,0,0.0,1
438,26,0.02095238095238095,0,0.0,1
