ms,adc_ch1,volt_ch1,adc_ch2,volt_ch2,rep
0,178,0.14344322344322344,142,0.11443223443223444,1
9,179,0.14424908424908423,142,0.11443223443223444,1
14,179,0.14424908424908423,143,0.11523809523809524,1
15,178,0.14344322344322344,142,0.11443223443223444,1
15,178,0.14344322344322344,142,0.11443223443223444,1
29,177,0.14263736263736262,141,0.11362637362637362,1
29,179,0.14424908424908423,141,0.11362637362637362,1
29,179,0.14424908424908423,141,0.11362637362637362,1
44,178,0.14344322344322344,141,0.11362637362637362,1
44,176,0.1418315018315018,141,0.11362637362637362,1
44,183,0.14747252747252745,142,0.11443223443223444,1
60,178,0.14344322344322344,142,0.11443223443223444,1
64,180,0.14505494505494507,144,0.11604395604395604,1
69,178,0.14344322344322344,141,0.11362637362637362,1
74,176,0.1418315018315018,144,0.11604395604395604,1
79,178,0.14344322344322344,142,0.11443223443223444,1
84,182,0.14666666666666667,141,0.11362637362637362,1
89,183,0.14747252747252745,140,0.11282051282051282,1
92,182,0.14666666666666667,143,0.11523809523809524,1
92,179,0.14424908424908423,141,0.11362637362637362,1
92,183,0.14747252747252745,144,0.11604395604395604,1
107,178,0.14344322344322344,141,0.11362637362637362,1
107,180,0.14505494505494507,142,0.11443223443223444,1
117,176,0.1418315018315018,140,0.11282051282051282,1
123,184,0.14827838827838827,141,0.11362637362637362,1
128,182,0.14666666666666667,144,0.11604395604395604,1
128,180,0.14505494505494507,143,0.11523809523809524,1
139,182,0.14666666666666667,142,0.11443223443223444,1
139,179,0.14424908424908423,142,0.11443223443223444,1
139,177,0.14263736263736262,144,0.11604395604395604,1
139,180,0.14505494505494507,142,0.11443223443223444,1
159,181,0.14586080586080585,144,0.11604395604395604,1
165,182,0.14666666666666667,143,0.11523809523809524,1
165,179,0.14424908424908423,142,0.11443223443223444,1
172,179,0.14424908424908423,142,0.11443223443223444,1
172,183,0.14747252747252745,142,0.11443223443223444,1
172,179,0.14424908424908423,144,0.11604395604395604,1
188,178,0.14344322344322344,144,0.11604395604395604,1
188,180,0.14505494505494507,141,0.11362637362637362,1
188,178,0.14344322344322344,143,0.11523809523809524,1
205,182,0.14666666666666667,142,0.11443223443223444,1
205,178,0.14344322344322344,144,0.11604395604395604,1
205,177,0.14263736263736262,144,0.11604395604395604,1
205,178,0.14344322344322344,140,0.11282051282051282,1
224,178,0.14344322344322344,142,0.11443223443223444,1
224,182,0.14666666666666667,144,0.11604395604395604,1
224,176,0.1418315018315018,144,0.11604395604395604,1
237,181,0.14586080586080585,144,0.11604395604395604,1
237,180,0.14505494505494507,142,0.11443223443223444,1
237,185,0.14908424908424908,142,0.11443223443223444,1
254,180,0.14505494505494507,144,0.11604395604395604,1
254,177,0.14263736263736262,141,0.11362637362637362,1
254,178,0.14344322344322344,140,0.11282051282051282,1
270,182,0.14666666666666667,142,0.11443223443223444,1
270,182,0.14666666666666667,143,0.11523809523809524,1
270,179,0.14424908424908423,142,0.11443223443223444,1
286,181,0.14586080586080585,139,0.112014652014652,1
291,180,0.14505494505494507,140,0.11282051282051282,1
296,179,0.14424908424908423,144,0.11604395604395604,1
296,177,0.14263736263736262,142,0.11443223443223444,1
306,177,0.14263736263736262,142,0.11443223443223444,1
306,180,0.14505494505494507,141,0.11362637362637362,1
306,176,0.1418315018315018,144,0.11604395604395604,1
319,176,0.1418315018315018,141,0.11362637362637362,1
319,182,0.14666666666666667,142,0.11443223443223444,1
319,177,0.14263736263736262,143,0.11523809523809524,1
336,178,0.14344322344322344,142,0.11443223443223444,1
336,178,0.14344322344322344,143,0.11523809523809524,1
336,182,0.14666666666666667,143,0.11523809523809524,1
336,178,0.14344322344322344,144,0.11604395604395604,1
356,180,0.14505494505494507,144,0.11604395604395604,1
356,179,0.14424908424908423,139,0.112014652014652,1
356,180,0.14505494505494507,142,0.11443223443223444,1
368,176,0.1418315018315018,141,0.11362637362637362,1
368,180,0.14505494505494507,143,0.11523809523809524,1
368,177,0.14263736263736262,141,0.11362637362637362,1
385,145,0.11684981684981684,142,0.11443223443223444,1
