ms,adc_ch1,volt_ch1,adc_ch2,volt_ch2,rep
0,0,0.0,0,0.0,1
0,0,0.0,0,0.0,1
14,0,0.0,0,0.0,1
20,0,0.0,0,0.0,1
21,0,0.0,0,0.0,1
21,0,0.0,0,0.0,1
35,0,0.0,0,0.0,1
38,0,0.0,0,0.0,1
38,0,0.0,0,0.0,1
49,0,0.0,0,0.0,1
49,0,0.0,0,0.0,1
49,0,0.0,0,0.0,1
64,0,0.0,0,0.0,1
70,0,0.0,0,0.0,1
70,0,0.0,0,0.0,1
81,0,0.0,0,0.0,1
85,0,0.0,0,0.0,1
91,0,0.0,0,0.0,1
95,0,0.0,0,0.0,1
102,0,0.0,0,0.0,1
105,18,0.014505494505494505,0,0.0,1
110,0,0.0,0,0.0,1
114,0,0.0,0,0.0,1
114,0,0.0,0,0.0,1
114,0,0.0,0,0.0,1
131,0,0.0,0,0.0,1
131,0,0.0,0,0.0,1
131,0,0.0,0,0.0,1
147,0,0.0,0,0.0,1
152,0,0.0,0,0.0,1
152,0,0.0,0,0.0,1
152,0,0.0,0,0.0,1
163,0,0.0,0,0.0,1
163,0,0.0,0,0.0,1
163,0,0.0,0,0.0,1
179,0,0.0,0,0.0,1
179,0,0.0,0,0.0,1
179,0,0.0,0,0.0,1
196,0,0.0,0,0.0,1
202,0,0.0,0,0.0,1
202,0,0.0,0,0.0,1
212,0,0.0,0,0.0,1
212,0,0.0,0,0.0,1
212,0,0.0,0,0.0,1
212,21,0.016923076923076923,0,0.0,1
231,10,0.008058608058608058,0,0.0,1
237,0,0.0,0,0.0,1
239,0,0.0,0,0.0,1
245,0,0.0,0,0.0,1
245,0,0.0,0,0.0,1
245,0,0.0,0,0.0,1
262,0,0.0,0,0.0,1
267,0,0.0,0,0.0,1
267,0,0.0,0,0.0,1
267,0,0.0,0,0.0,1
278,1,0.0008058608058608059,0,0.0,1
278,0,0.0,0,0.0,1
278,0,0.0,0,0.0,1
295,0,0.0,0,0.0,1
302,0,0.0,0,0.0,1
